site_id,domain,rank,tier,target_year,target_from,target_to,timestamp,original,status_code,mime_type,snapshot_url,downloaded,local_path,error_message
S000001,googleapis.com,7,Tier1,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000001,googleapis.com,7,Tier1,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000001,googleapis.com,7,Tier1,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000002,akadns.net,26,Tier1,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000002,akadns.net,26,Tier1,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000002,akadns.net,26,Tier1,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000003,domaincontrol.com,28,Tier1,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000003,domaincontrol.com,28,Tier1,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000003,domaincontrol.com,28,Tier1,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000004,bing.com,31,Tier1,2022,20220601,20220831,20220715115947,https://www.bing.com/,200,text/html,https://web.archive.org/web/20220715115947/https://www.bing.com/,1,dataset\raw\wayback\2022\S000004.html,
S000004,bing.com,31,Tier1,2024,20240601,20240831,20240715120005,http://www.bing.com/,200,text/html,https://web.archive.org/web/20240715120005/http://www.bing.com/,1,dataset\raw\wayback\2024\S000004.html,
S000004,bing.com,31,Tier1,2026,20260601,20260714,20260713195259,https://www.bing.com/,200,text/html,https://web.archive.org/web/20260713195259/https://www.bing.com/,1,dataset\raw\wayback\2026\S000004.html,
S000005,fastly.net,33,Tier1,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000005,fastly.net,33,Tier1,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000005,fastly.net,33,Tier1,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000006,youtu.be,45,Tier1,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000006,youtu.be,45,Tier1,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000006,youtu.be,45,Tier1,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000007,skype.com,47,Tier1,2022,20220501,20220930,,,,,,0,,missing_snapshot
S000007,skype.com,47,Tier1,2024,20240501,20240930,,,,,,0,,missing_snapshot
S000007,skype.com,47,Tier1,2026,20260501,20260714,,,,,,0,,missing_snapshot
S000008,vimeo.com,72,Tier1,2022,20220601,20220831,20220715114950,https://vimeo.com/,200,text/html,https://web.archive.org/web/20220715114950/https://vimeo.com/,1,dataset\raw\wayback\2022\S000008.html,
