site_id,domain,rank,tier,category,included,note
S000001,googleapis.com,7,Tier1,unknown,1,
S000002,akadns.net,26,Tier1,unknown,1,
S000003,domaincontrol.com,28,Tier1,unknown,1,
S000004,bing.com,31,Tier1,unknown,1,
S000005,fastly.net,33,Tier1,unknown,1,
S000006,youtu.be,45,Tier1,unknown,1,
S000007,skype.com,47,Tier1,unknown,1,
S000008,vimeo.com,72,Tier1,unknown,1,
S000009,nginx.org,81,Tier1,unknown,1,
S000010,baidu.com,82,Tier1,unknown,1,
S000101,yandex.com.tr,1038,Tier2,unknown,1,
S000102,espncricinfo.com,1142,Tier2,unknown,1,
S000103,hotpepper.jp,1213,Tier2,unknown,1,
S000104,gazzetta.it,1233,Tier2,unknown,1,
S000105,neal.fun,1472,Tier2,unknown,1,
S000106,arca.live,1513,Tier2,unknown,1,
S000107,ak2yy.com,1611,Tier2,unknown,1,
S000108,okxxx1.com,1634,Tier2,unknown,1,
S000109,triunfobet.com,1753,Tier2,unknown,1,
S000110,sky.com,1968,Tier2,unknown,1,
S000111,cctv.com,2277,Tier2,unknown,1,
S000112,pcmag.com,2379,Tier2,unknown,1,
S000113,match.com,2625,Tier2,unknown,1,
S000114,qunar.com,3059,Tier2,unknown,1,
S000115,iz.ru,3104,Tier2,unknown,1,
S000116,macys.com,3362,Tier2,unknown,1,
S000117,cia.gov,3605,Tier2,unknown,1,
S000118,google.co.kr,3615,Tier2,unknown,1,
S000119,chrome.com,3742,Tier2,unknown,1,
S000120,google.co.nz,3890,Tier2,unknown,1,
S000121,proxmox.com,4088,Tier2,unknown,1,
S000122,hubspotusercontent-na1.net,4287,Tier2,unknown,1,
S000123,ivideon.com,4316,Tier2,unknown,1,
S000124,fitbit.com,4330,Tier2,unknown,1,
S000125,capcutapi.us,4551,Tier2,unknown,1,
S000126,samsung-gamelauncher.com,4666,Tier2,unknown,1,
S000127,ecombdapi.com,4728,Tier2,unknown,1,
S000128,iranlms.ir,4747,Tier2,unknown,1,
S000129,manutouch.com.cn,4797,Tier2,unknown,1,
S000130,kommersant.ru,4833,Tier2,unknown,1,
S000131,campaign-archive.com,4843,Tier2,unknown,1,
S000132,softpedia.com,4859,Tier2,unknown,1,
S000133,emirates.com,4973,Tier2,unknown,1,
S000134,mx-ns.mx,4995,Tier2,unknown,1,
S000135,mobileiron.com,5164,Tier2,unknown,1,
S000136,controld.com,5197,Tier2,unknown,1,
S000137,missouri.edu,5338,Tier2,unknown,1,
S000138,mavrtracktor.com,5418,Tier2,unknown,1,
S000139,sberbank-tele.com,5454,Tier2,unknown,1,
S000140,hiddenvpn.ru,5491,Tier2,unknown,1,
S000501,btn.co.id,50426,Tier3,unknown,1,
S000502,wjgnet.com,51774,Tier3,unknown,1,
S000503,lingxiuyun.net,55815,Tier3,unknown,1,
S000504,tendacn.com,56183,Tier3,unknown,1,
S000505,hubinternational.com,60645,Tier3,unknown,1,
S000506,isp.hu,63267,Tier3,unknown,1,
S000507,karmasearch.org,70325,Tier3,unknown,1,
S000508,cafepress.com.au,70481,Tier3,unknown,1,
S000509,atlantamagazine.com,71370,Tier3,unknown,1,
S000510,vbirfio.site,74814,Tier3,unknown,1,
S000511,devit.software,75612,Tier3,unknown,1,
S000512,nasscom.in,76926,Tier3,unknown,1,
S000513,pgs.io,78277,Tier3,unknown,1,
S000514,kktcarabam.com,78419,Tier3,unknown,1,
S000515,treatwell.de,78942,Tier3,unknown,1,
S000516,kadastr.ru,80095,Tier3,unknown,1,
S000517,udmercy.edu,80435,Tier3,unknown,1,
S000518,aescripts.com,82538,Tier3,unknown,1,
S000519,uzi.la,90116,Tier3,unknown,1,
S000520,derbund.ch,90606,Tier3,unknown,1,
S000521,diaart.org,92214,Tier3,unknown,1,
S000522,bv26qb11.com,93065,Tier3,unknown,1,
S000523,jivo-ce.jp,96543,Tier3,unknown,1,
S000524,sporttiuutiset.fi,98459,Tier3,unknown,1,
S000525,whiplashapi.com,102658,Tier3,unknown,1,
S000526,romyilano.com,102728,Tier3,unknown,1,
S000527,mastodon.xyz,104616,Tier3,unknown,1,
S000528,cgpb.ru,115291,Tier3,unknown,1,
S000529,lead411.com,117349,Tier3,unknown,1,
S000530,paulsmith.com,121952,Tier3,unknown,1,
S000531,theburningplatform.com,122307,Tier3,unknown,1,
S000532,internetwerk.de,122793,Tier3,unknown,1,
S000533,istripper.com,123373,Tier3,unknown,1,
S000534,infotecs.ru,126366,Tier3,unknown,1,
S000535,mobigoro.top,129689,Tier3,unknown,1,
S000536,ronpaulinstitute.org,131248,Tier3,unknown,1,
S000537,sheffieldfinancial.com,134492,Tier3,unknown,1,
S000538,herzporno.net,135885,Tier3,unknown,1,
S000539,hongboluo.com,138026,Tier3,unknown,1,
S000540,ubisoft.cn,138915,Tier3,unknown,1,
S000541,secureclouddns.net,140873,Tier3,unknown,1,
S000542,kurskmed.com,147924,Tier3,unknown,1,
S000543,init-ag.de,156852,Tier3,unknown,1,
S000544,jdsports.my,160666,Tier3,unknown,1,
S000545,colorfulhappyapp.com,161765,Tier3,unknown,1,
S000546,buyrentkenya.com,163347,Tier3,unknown,1,
S000547,advogato.org,163350,Tier3,unknown,1,
S000548,techintgroup.net,163669,Tier3,unknown,1,
S000549,chu-rouen.fr,169947,Tier3,unknown,1,
S000550,tam-voyages.com,170097,Tier3,unknown,1,
